O3,O3_8hrs,NO2,CO,SO2,PM10,PM2_5,Estacion,DateTime,Anio,Mes,Dia,Hora
,,,,,,,bine,2021-01-01 00:00:00,2021,1,1,0
,,,,,,,bine,2021-01-01 01:00:00,2021,1,1,1
,,,,,,,bine,2021-01-01 02:00:00,2021,1,1,2
,,,,,,,bine,2021-01-01 03:00:00,2021,1,1,3
,,,,,,,bine,2021-01-01 04:00:00,2021,1,1,4
,,,,,,,bine,2021-01-01 05:00:00,2021,1,1,5
,,,,,,,bine,2021-01-01 06:00:00,2021,1,1,6
,,,,,,,bine,2021-01-01 07:00:00,2021,1,1,7
,,,,,,,bine,2021-01-01 08:00:00,2021,1,1,8
,,,,,,,bine,2021-01-01 09:00:00,2021,1,1,9
,,,,,,,bine,2021-01-01 10:00:00,2021,1,1,10
,,,,,,,bine,2021-01-01 11:00:00,2021,1,1,11
,,,,,,,bine,2021-01-01 12:00:00,2021,1,1,12
,,,,,,,bine,2021-01-01 13:00:00,2021,1,1,13
,,,,,,,bine,2021-01-01 14:00:00,2021,1,1,14
,,,,,,,bine,2021-01-01 15:00:00,2021,1,1,15
,,,,,,,bine,2021-01-01 16:00:00,2021,1,1,16
,,,,,,,bine,2021-01-01 17:00:00,2021,1,1,17
,,,,,,,bine,2021-01-01 18:00:00,2021,1,1,18
,,,,,,,bine,2021-01-01 19:00:00,2021,1,1,19
,,,,,,,bine,2021-01-01 20:00:00,2021,1,1,20
,,,,,,,bine,2021-01-01 21:00:00,2021,1,1,21
,,,,,,,bine,2021-01-01 22:00:00,2021,1,1,22
,,,,,,,bine,2021-01-01 23:00:00,2021,1,1,23
,,,,,,,bine,2021-01-02 00:00:00,2021,1,2,0
,,,,,,,bine,2021-01-02 01:00:00,2021,1,2,1
,,,,,,,bine,2021-01-02 02:00:00,2021,1,2,2
,,,,,,,bine,2021-01-02 03:00:00,2021,1,2,3
,,,,,,,bine,2021-01-02 04:00:00,2021,1,2,4
,,,,,,,bine,2021-01-02 05:00:00,2021,1,2,5
,,,,,,,bine,2021-01-02 06:00:00,2021,1,2,6
,,,,,,,bine,2021-01-02 07:00:00,2021,1,2,7
,,,,,,,bine,2021-01-02 08:00:00,2021,1,2,8
,,,,,,,bine,2021-01-02 09:00:00,2021,1,2,9
,,,,,,,bine,2021-01-02 10:00:00,2021,1,2,10
,,,,,,,bine,2021-01-02 11:00:00,2021,1,2,11
,,,,,,,bine,2021-01-02 12:00:00,2021,1,2,12
,,,,,,,bine,2021-01-02 13:00:00,2021,1,2,13
,,,,,,,bine,2021-01-02 14:00:00,2021,1,2,14
,,,,,,,bine,2021-01-02 15:00:00,2021,1,2,15
,,,,,,,bine,2021-01-02 16:00:00,2021,1,2,16
,,,,,,,bine,2021-01-02 17:00:00,2021,1,2,17
,,,,,,,bine,2021-01-02 18:00:00,2021,1,2,18
,,,,,,,bine,2021-01-02 19:00:00,2021,1,2,19
,,,,,,,bine,2021-01-02 20:00:00,2021,1,2,20
,,,,,,,bine,2021-01-02 21:00:00,2021,1,2,21
,,,,,,,bine,2021-01-02 22:00:00,2021,1,2,22
,,,,,,,bine,2021-01-02 23:00:00,2021,1,2,23
,,,,,,,bine,2021-01-03 00:00:00,2021,1,3,0
,,,,,,,bine,2021-01-03 01:00:00,2021,1,3,1
,,,,,,,bine,2021-01-03 02:00:00,2021,1,3,2
,,,,,,,bine,2021-01-03 03:00:00,2021,1,3,3
