O3,O3_8hrs,NO2,CO,SO2,PM10,PM2_5,Estacion,DateTime,Anio,Mes,Dia,Hora
6.0,12.0,24.0,138.0,1.0,144.0,101.0,santa,2024-01-01 00:00:00,2024,1,1,0
7.0,10.0,23.0,153.0,1.0,153.0,127.0,santa,2024-01-01 01:00:00,2024,1,1,1
7.0,9.0,23.0,165.0,1.0,164.0,157.0,santa,2024-01-01 02:00:00,2024,1,1,2
7.0,8.0,22.0,173.0,1.0,172.0,157.0,santa,2024-01-01 03:00:00,2024,1,1,3
7.0,7.0,23.0,178.0,1.0,202.0,,santa,2024-01-01 04:00:00,2024,1,1,4
7.0,7.0,20.0,171.0,1.0,229.0,,santa,2024-01-01 05:00:00,2024,1,1,5
7.0,7.0,18.0,155.0,2.0,215.0,,santa,2024-01-01 06:00:00,2024,1,1,6
7.0,7.0,16.0,133.0,2.0,199.0,,santa,2024-01-01 07:00:00,2024,1,1,7
7.0,7.0,14.0,117.0,2.0,171.0,,santa,2024-01-01 08:00:00,2024,1,1,8
7.0,7.0,10.0,109.00000000000001,2.0,146.0,,santa,2024-01-01 09:00:00,2024,1,1,9
7.0,7.0,9.0,100.0,2.0,111.0,,santa,2024-01-01 10:00:00,2024,1,1,10
12.0,8.0,8.0,90.0,2.0,76.0,,santa,2024-01-01 11:00:00,2024,1,1,11
38.0,12.0,8.0,78.0,2.0,54.0,,santa,2024-01-01 12:00:00,2024,1,1,12
42.0,16.0,9.0,66.0,2.0,41.0,30.0,santa,2024-01-01 13:00:00,2024,1,1,13
37.0,20.0,9.0,55.00000000000001,2.0,37.0,28.0,santa,2024-01-01 14:00:00,2024,1,1,14
33.0,23.0,7.0,45.0,2.0,31.0,21.0,santa,2024-01-01 15:00:00,2024,1,1,15
31.0,26.0,7.0,35.0,2.0,32.0,28.0,santa,2024-01-01 16:00:00,2024,1,1,16
31.0,29.0,6.0,28.000000000000004,2.0,29.0,27.0,santa,2024-01-01 17:00:00,2024,1,1,17
28.0,32.0,9.0,24.0,2.0,34.0,29.0,santa,2024-01-01 18:00:00,2024,1,1,18
24.0,33.0,12.0,23.0,2.0,43.0,35.0,santa,2024-01-01 19:00:00,2024,1,1,19
14.0,30.0,27.0,28.999999999999996,2.0,52.0,37.0,santa,2024-01-01 20:00:00,2024,1,1,20
10.0,26.0,34.0,41.0,2.0,67.0,45.0,santa,2024-01-01 21:00:00,2024,1,1,21
10.0,23.0,24.0,48.0,2.0,64.0,45.0,santa,2024-01-01 22:00:00,2024,1,1,22
10.0,20.0,22.0,54.0,2.0,51.0,37.0,santa,2024-01-01 23:00:00,2024,1,1,23
10.0,17.0,23.0,63.0,2.0,59.0,35.0,santa,2024-01-02 00:00:00,2024,1,2,0
10.0,15.0,21.0,68.0,2.0,54.0,41.0,santa,2024-01-02 01:00:00,2024,1,2,1
10.0,12.0,19.0,73.0,1.0,52.0,42.0,santa,2024-01-02 02:00:00,2024,1,2,2
10.0,11.0,12.0,73.0,1.0,45.0,38.0,santa,2024-01-02 03:00:00,2024,1,2,3
10.0,10.0,20.0,69.0,1.0,49.0,40.0,santa,2024-01-02 04:00:00,2024,1,2,4
10.0,10.0,18.0,59.0,1.0,51.0,47.0,santa,2024-01-02 05:00:00,2024,1,2,5
10.0,10.0,19.0,54.0,1.0,50.0,48.0,santa,2024-01-02 06:00:00,2024,1,2,6
10.0,10.0,19.0,52.0,1.0,49.0,46.0,santa,2024-01-02 07:00:00,2024,1,2,7
10.0,10.0,19.0,50.0,1.0,52.0,41.0,santa,2024-01-02 08:00:00,2024,1,2,8
10.0,10.0,19.0,50.0,1.0,56.0,34.0,santa,2024-01-02 09:00:00,2024,1,2,9
,10.0,20.0,51.0,1.0,57.0,25.0,santa,2024-01-02 10:00:00,2024,1,2,10
,10.0,22.0,54.0,1.0,52.0,18.0,santa,2024-01-02 11:00:00,2024,1,2,11
,,12.0,53.0,1.0,54.0,16.0,santa,2024-01-02 12:00:00,2024,1,2,12
,,9.0,50.0,1.0,43.0,10.0,santa,2024-01-02 13:00:00,2024,1,2,13
,,9.0,48.0,1.0,40.0,7.0,santa,2024-01-02 14:00:00,2024,1,2,14
,,9.0,44.0,1.0,39.0,9.0,santa,2024-01-02 15:00:00,2024,1,2,15
,,11.0,39.0,1.0,41.0,12.0,santa,2024-01-02 16:00:00,2024,1,2,16
,,12.0,34.0,1.0,35.0,16.0,santa,2024-01-02 17:00:00,2024,1,2,17
,,12.0,30.0,1.0,43.0,18.0,santa,2024-01-02 18:00:00,2024,1,2,18
,,18.0,28.000000000000004,1.0,50.0,23.0,santa,2024-01-02 19:00:00,2024,1,2,19
,,27.0,34.0,1.0,66.0,30.0,santa,2024-01-02 20:00:00,2024,1,2,20
,,30.0,45.0,1.0,82.0,44.0,santa,2024-01-02 21:00:00,2024,1,2,21
,,27.0,55.00000000000001,1.0,91.0,66.0,santa,2024-01-02 22:00:00,2024,1,2,22
,,24.0,64.0,1.0,78.0,55.0,santa,2024-01-02 23:00:00,2024,1,2,23
,,24.0,73.0,1.0,83.0,46.0,santa,2024-01-03 00:00:00,2024,1,3,0
,,22.0,84.0,1.0,90.0,52.0,santa,2024-01-03 01:00:00,2024,1,3,1
,,21.0,92.0,1.0,96.0,63.0,santa,2024-01-03 02:00:00,2024,1,3,2
,,19.0,101.0,1.0,100.0,68.0,santa,2024-01-03 03:00:00,2024,1,3,3
,,18.0,101.0,1.0,100.0,67.0,santa,2024-01-03 04:00:00,2024,1,3,4
,,20.0,99.0,2.0,98.0,65.0,santa,2024-01-03 05:00:00,2024,1,3,5
,,17.0,98.0,2.0,96.0,64.0,santa,2024-01-03 06:00:00,2024,1,3,6
,,16.0,99.0,2.0,100.0,68.0,santa,2024-01-03 07:00:00,2024,1,3,7
,,18.0,101.0,2.0,94.0,57.0,santa,2024-01-03 08:00:00,2024,1,3,8
,,22.0,104.0,2.0,103.0,54.0,santa,2024-01-03 09:00:00,2024,1,3,9
,,23.0,107.0,2.0,102.0,44.0,santa,2024-01-03 10:00:00,2024,1,3,10
,,11.0,99.0,2.0,75.0,25.0,santa,2024-01-03 11:00:00,2024,1,3,11
,,6.0,92.0,2.0,53.0,25.0,santa,2024-01-03 12:00:00,2024,1,3,12
,,7.0,83.0,2.0,37.0,9.0,santa,2024-01-03 13:00:00,2024,1,3,13
,,5.0,73.0,2.0,28.0,,santa,2024-01-03 14:00:00,2024,1,3,14
,,7.0,63.0,2.0,29.0,8.0,santa,2024-01-03 15:00:00,2024,1,3,15
,,8.0,51.0,2.0,29.0,8.0,santa,2024-01-03 16:00:00,2024,1,3,16
,,10.0,37.0,2.0,36.0,10.0,santa,2024-01-03 17:00:00,2024,1,3,17
,,14.0,26.0,2.0,36.0,19.0,santa,2024-01-03 18:00:00,2024,1,3,18
,,19.0,26.0,2.0,46.0,28.0,santa,2024-01-03 19:00:00,2024,1,3,19
,,23.0,39.0,2.0,64.0,27.0,santa,2024-01-03 20:00:00,2024,1,3,20
,,25.0,56.00000000000001,2.0,74.0,29.0,santa,2024-01-03 21:00:00,2024,1,3,21
,,26.0,73.0,2.0,82.0,31.0,santa,2024-01-03 22:00:00,2024,1,3,22
,,24.0,91.0,2.0,81.0,32.0,santa,2024-01-03 23:00:00,2024,1,3,23
,,22.0,106.0,2.0,86.0,37.0,santa,2024-01-04 00:00:00,2024,1,4,0
,,15.0,112.99999999999999,2.0,67.0,40.0,santa,2024-01-04 01:00:00,2024,1,4,1
,,10.0,113.99999999999999,2.0,50.0,31.0,santa,2024-01-04 02:00:00,2024,1,4,2
,,8.0,111.00000000000001,2.0,34.0,23.0,santa,2024-01-04 03:00:00,2024,1,4,3
,,7.0,98.0,2.0,32.0,23.0,santa,2024-01-04 04:00:00,2024,1,4,4
,,6.0,82.0,2.0,35.0,32.0,santa,2024-01-04 05:00:00,2024,1,4,5
,,12.0,67.0,2.0,40.0,34.0,santa,2024-01-04 06:00:00,2024,1,4,6
,,13.0,53.0,1.0,42.0,36.0,santa,2024-01-04 07:00:00,2024,1,4,7
,,15.0,43.0,1.0,50.0,40.0,santa,2024-01-04 08:00:00,2024,1,4,8
