Fecha,Hora,O3,O3 8hrs,NO2,CO,SO2,PM-10,PM-2.5,Estacion
2023-01-01,00:00,0.004,0.009,0.020,1.63,0.001,125,61,santa
2023-01-01,01:00,0.003,0.007,0.018,1.85,0.001,145,64,santa
2023-01-01,02:00,0.003,0.004,0.018,1.98,0.002,176,102,santa
2023-01-01,03:00,0.003,0.003,0.017,2.07,0.002,191,131,santa
2023-01-01,04:00,0.003,0.003,0.015,2.05,0.002,191,139,santa
2023-01-01,05:00,0.003,0.003,0.014,1.97,0.002,171,134,santa
2023-01-01,06:00,0.003,0.003,0.013,1.77,0.002,169,128,santa
2023-01-01,07:00,0.003,0.003,0.012,1.53,0.002,163,123,santa
2023-01-01,08:00,0.003,0.003,0.011,1.36,0.002,138,106,santa
2023-01-01,09:00,0.007,0.004,0.013,1.21,0.002,143,106,santa
2023-01-01,10:00,0.020,0.006,0.010,1.11,0.002,121,85,santa
2023-01-01,11:00,0.031,0.009,0.006,0.96,0.002,83,65,santa
2023-01-01,12:00,0.039,0.014,0.003,0.85,0.002,53,38,santa
2023-01-01,13:00,0.033,0.017,0.000,0.71,0.002,28,21,santa
2023-01-01,14:00,0.036,0.022,0.001,0.59,0.002,18,21,santa
2023-01-01,15:00,0.035,0.026,0.000,0.47,0.002,13,D.I.,santa
2023-01-01,16:00,0.036,0.030,0.003,0.35,0.002,16,D.I.,santa
2023-01-01,17:00,0.029,0.032,0.004,0.26,0.002,12,D.I.,santa
2023-01-01,18:00,0.021,0.033,0.009,0.22,0.002,16,D.I.,santa
2023-01-01,19:00,0.013,0.030,0.017,0.25,0.002,23,D.I.,santa
2023-01-01,20:00,0.010,0.027,0.020,0.30,0.002,52,14,santa
2023-01-01,21:00,0.007,0.023,0.021,0.37,0.002,52,22,santa
2023-01-01,22:00,0.004,0.019,0.026,0.50,0.002,58,26,santa
2023-01-01,23:00,0.002,0.015,0.026,0.71,0.002,64,30,santa
2023-01-02,00:00,0.002,0.011,0.024,0.84,0.002,67,30,santa
2023-01-02,01:00,0.004,0.008,0.020,0.90,0.002,55,26,santa
2023-01-02,02:00,0.003,0.006,0.018,0.94,0.002,46,23,santa
2023-01-02,03:00,0.004,0.005,0.015,0.91,0.002,43,23,santa
2023-01-02,04:00,0.002,0.004,0.017,0.92,0.002,43,23,santa
2023-01-02,05:00,0.002,0.003,0.015,0.94,0.001,52,17,santa
2023-01-02,06:00,0.002,0.003,0.013,0.90,0.001,47,17,santa
2023-01-02,07:00,0.003,0.003,0.012,0.78,0.002,54,32,santa
2023-01-02,08:00,0.003,0.003,0.012,0.72,0.002,53,31,santa
2023-01-02,09:00,0.004,0.003,0.016,0.78,0.002,47,29,santa
2023-01-02,10:00,0.009,0.004,0.026,0.86,0.002,44,16,santa
2023-01-02,11:00,0.023,0.006,0.009,0.85,0.002,48,17,santa
2023-01-02,12:00,0.026,0.009,0.003,0.79,0.002,32,9,santa
2023-01-02,13:00,0.026,0.012,0.003,0.70,0.002,18,9,santa
2023-01-02,14:00,0.029,0.015,0.004,0.63,0.002,20,D.I.,santa
2023-01-02,15:00,0.029,0.019,0.003,0.56,0.002,25,D.I.,santa
2023-01-02,16:00,0.027,0.022,0.005,0.48,0.002,29,8,santa
2023-01-02,17:00,0.027,0.025,0.005,0.37,0.002,31,11,santa
2023-01-02,18:00,0.020,0.026,0.013,0.28,0.002,41,13,santa
2023-01-02,19:00,0.014,0.025,0.015,0.30,0.002,48,14,santa
2023-01-02,20:00,0.007,0.022,0.022,0.39,0.002,57,13,santa
2023-01-02,21:00,0.006,0.020,0.023,0.46,0.002,60,25,santa
2023-01-02,22:00,0.013,0.018,0.016,0.48,0.001,56,21,santa
2023-01-02,23:00,0.006,0.015,0.021,0.56,0.001,47,18,santa
2023-01-03,00:00,0.012,0.013,0.014,0.58,0.001,47,17,santa
2023-01-03,01:00,0.012,0.011,0.014,0.59,0.001,38,15,santa
2023-01-03,02:00,0.014,0.011,0.009,0.56,0.001,33,20,santa
2023-01-03,03:00,0.015,0.011,0.007,0.53,0.001,24,17,santa
2023-01-03,04:00,0.017,0.012,0.005,0.44,0.001,22,15,santa
2023-01-03,05:00,0.015,0.013,0.008,0.35,0.001,14,15,santa
2023-01-03,06:00,0.006,0.012,0.014,0.33,0.001,17,15,santa
2023-01-03,07:00,0.002,0.012,0.015,0.29,0.001,28,20,santa
2023-01-03,08:00,0.003,0.011,0.016,0.35,0.001,30,21,santa
2023-01-03,09:00,0.004,0.010,0.020,0.47,0.001,57,21,santa
2023-01-03,10:00,0.008,0.009,0.024,0.57,0.001,62,18,santa
2023-01-03,11:00,0.018,0.009,0.013,0.60,0.001,54,18,santa
2023-01-03,12:00,0.028,0.011,0.004,0.61,0.001,33,12,santa
