DateTime,O3,CO,NO2,SO2,PM10,PM2.5,Estacion
01/01/2024 00:00,,1.418,23,2.19,162,152,AGUA SANTA
01/01/2024 01:00,,1.262,23.1,2.07,174,187,AGUA SANTA
01/01/2024 02:00,,1.235,22.5,2.18,180,,AGUA SANTA
01/01/2024 03:00,,1.289,23.1,2.43,232,,AGUA SANTA
01/01/2024 04:00,,1.201,20.4,1.99,257,,AGUA SANTA
01/01/2024 05:00,,1.048,18.2,1.91,201,,AGUA SANTA
01/01/2024 06:00,,0.977,15.9,1.47,183,,AGUA SANTA
01/01/2024 07:00,,0.934,14.5,1.38,142,,AGUA SANTA
01/01/2024 08:00,,0.755,10.4,2.05,122,138,AGUA SANTA
01/01/2024 09:00,,0.558,8.9,2.19,75,,AGUA SANTA
01/01/2024 10:00,,0.425,8.2,1.67,42,,AGUA SANTA
01/01/2024 11:00,,0.302,7.7,1.47,32,27,AGUA SANTA
01/01/2024 12:00,,0.259,9.5,1.37,27,25,AGUA SANTA
01/01/2024 13:00,,0.193,8.7,1.57,34,27,AGUA SANTA
01/01/2024 14:00,,0.159,7.4,1.43,24,15,AGUA SANTA
01/01/2024 15:00,,0.17,6.5,1.29,34,34,AGUA SANTA
01/01/2024 16:00,,0.156,6.1,1.13,25,26,AGUA SANTA
01/01/2024 17:00,,0.224,8.9,1.13,39,32,AGUA SANTA
01/01/2024 18:00,,0.343,11.7,1.35,53,41,AGUA SANTA
01/01/2024 19:00,,0.79,27.5,1.51,61,39,AGUA SANTA
01/01/2024 20:00,,1.231,33.8,1.95,81,52,AGUA SANTA
01/01/2024 21:00,,0.79,24.2,1.59,61,45,AGUA SANTA
01/01/2024 22:00,,0.647,22.5,1.41,39,29,AGUA SANTA
01/01/2024 23:00,,0.832,22.5,1.48,67,34,AGUA SANTA
02/01/2024 00:00,,0.622,21.5,1.35,49,47,AGUA SANTA
02/01/2024 01:00,,0.572,18.9,1.12,49,43,AGUA SANTA
02/01/2024 02:00,,0.377,12,1.16,39,34,AGUA SANTA
02/01/2024 03:00,,0.465,20.2,1.06,53,42,AGUA SANTA
02/01/2024 04:00,,0.413,18,0.94,52,53,AGUA SANTA
02/01/2024 05:00,,0.404,19.3,0.83,49,49,AGUA SANTA
02/01/2024 06:00,,0.514,19.4,1.11,48,45,AGUA SANTA
02/01/2024 07:00,,0.615,18.5,1.49,55,35,AGUA SANTA
02/01/2024 08:00,,0.65,19.4,1.69,61,28,AGUA SANTA
02/01/2024 09:00,,0.626,20,1.77,58,15,AGUA SANTA
02/01/2024 10:00,,0.656,21.6,1.68,46,11,AGUA SANTA
02/01/2024 11:00,,0.338,12.3,1.55,56,15,AGUA SANTA
02/01/2024 12:00,,0.206,9.3,1.04,33,4,AGUA SANTA
02/01/2024 13:00,,0.189,9,0.97,37,3,AGUA SANTA
02/01/2024 14:00,,0.195,9.2,1,38,11,AGUA SANTA
02/01/2024 15:00,,0.234,10.7,1.02,42,16,AGUA SANTA
02/01/2024 16:00,,0.275,12.2,1.13,30,19,AGUA SANTA
02/01/2024 17:00,,0.309,12.2,1.04,51,20,AGUA SANTA
02/01/2024 18:00,,0.438,18.4,1.19,57,29,AGUA SANTA
02/01/2024 19:00,,0.894,26.8,1.45,82,36,AGUA SANTA
02/01/2024 20:00,,1.068,29.7,1.71,97,58,AGUA SANTA
02/01/2024 21:00,,0.987,27.1,1.88,100,88,AGUA SANTA
02/01/2024 22:00,,0.925,24,1.62,65,45,AGUA SANTA
02/01/2024 23:00,,0.945,23.8,1.42,88,37,AGUA SANTA
03/01/2024 00:00,,1.121,22.3,1.78,98,58,AGUA SANTA
03/01/2024 01:00,,0.962,20.7,1.6,101,73,AGUA SANTA
03/01/2024 02:00,,1.192,18.6,1.5,104,74,AGUA SANTA
03/01/2024 03:00,,0.874,18.3,1.58,101,65,AGUA SANTA
03/01/2024 04:00,,0.887,19.6,1.72,96,63,AGUA SANTA
03/01/2024 05:00,,0.927,17.4,1.71,93,63,AGUA SANTA
03/01/2024 06:00,,0.967,16.3,1.61,104,73,AGUA SANTA
03/01/2024 07:00,,1.109,17.5,2.18,88,45,AGUA SANTA
03/01/2024 08:00,,1.384,21.7,2.88,112,51,AGUA SANTA
03/01/2024 09:00,,1.186,23.5,2.71,101,35,AGUA SANTA
03/01/2024 10:00,,0.588,11.5,1.98,49,6,AGUA SANTA
03/01/2024 11:00,,0.261,6.3,1.24,30,,AGUA SANTA
03/01/2024 12:00,,0.192,6.6,1.08,21,1,AGUA SANTA
03/01/2024 13:00,,0.134,5.4,1.05,20,,AGUA SANTA
03/01/2024 14:00,,0.162,6.9,0.96,30,7,AGUA SANTA
03/01/2024 15:00,,0.183,8.2,0.98,28,8,AGUA SANTA
03/01/2024 16:00,,0.216,10,0.8,43,12,AGUA SANTA
03/01/2024 17:00,,0.368,14.5,1.04,36,27,AGUA SANTA
03/01/2024 18:00,,0.604,19,1.29,57,36,AGUA SANTA
03/01/2024 19:00,,1.247,22.5,1.49,81,27,AGUA SANTA
03/01/2024 20:00,,1.525,25.5,1.82,84,30,AGUA SANTA
03/01/2024 21:00,,1.496,25.9,2.29,90,34,AGUA SANTA
03/01/2024 22:00,,1.644,23.7,2.41,81,33,AGUA SANTA
03/01/2024 23:00,,1.349,21.6,2.13,90,42,AGUA SANTA
04/01/2024 00:00,,0.762,15.2,1.52,49,42,AGUA SANTA
04/01/2024 01:00,,0.473,9.5,1.08,33,23,AGUA SANTA
04/01/2024 02:00,,0.338,8.4,1.02,18,15,AGUA SANTA
04/01/2024 03:00,,0.283,7.4,0.99,29,23,AGUA SANTA
04/01/2024 04:00,,0.216,6.3,0.99,38,40,AGUA SANTA
04/01/2024 05:00,,0.332,11.6,1,46,37,AGUA SANTA
04/01/2024 06:00,,0.447,13.4,1.13,44,38,AGUA SANTA
04/01/2024 07:00,,0.613,15.4,1.23,57,44,AGUA SANTA
04/01/2024 08:00,,0.698,15.5,1.41,59,26,AGUA SANTA
04/01/2024 09:00,,0.404,7.8,1.39,36,,AGUA SANTA
04/01/2024 10:00,,0.281,7,1.3,33,3,AGUA SANTA
04/01/2024 11:00,,0.199,6.2,0.98,8,,AGUA SANTA
04/01/2024 12:00,,0.166,6.7,0.93,23,,AGUA SANTA
04/01/2024 13:00,,0.17,7.1,0.93,30,,AGUA SANTA
04/01/2024 14:00,,0.141,7.3,0.89,45,9,AGUA SANTA
04/01/2024 15:00,,0.161,7.8,0.95,45,1,AGUA SANTA
04/01/2024 16:00,,0.205,10.8,0.98,57,16,AGUA SANTA
04/01/2024 17:00,,0.285,12.8,0.95,49,20,AGUA SANTA
04/01/2024 18:00,,0.342,13.4,1.01,64,34,AGUA SANTA
04/01/2024 19:00,,0.545,16.3,1.04,54,26,AGUA SANTA
04/01/2024 20:00,,0.722,19.5,1.34,54,22,AGUA SANTA
04/01/2024 21:00,,0.774,17.7,1.3,45,17,AGUA SANTA
04/01/2024 22:00,,0.756,18.3,1.22,43,20,AGUA SANTA
04/01/2024 23:00,,0.461,13.6,1.18,29,7,AGUA SANTA
05/01/2024 00:00,,0.306,10.9,0.95,18,12,AGUA SANTA
05/01/2024 01:00,,0.256,9.7,0.93,24,15,AGUA SANTA
05/01/2024 02:00,,0.152,7,0.95,14,12,AGUA SANTA
05/01/2024 03:00,,0.104,4.5,0.89,12,5,AGUA SANTA
05/01/2024 04:00,,0.139,6.1,0.8,15,,AGUA SANTA
05/01/2024 05:00,,0.2,8.2,0.91,29,18,AGUA SANTA
05/01/2024 06:00,,0.335,10,1.12,32,11,AGUA SANTA
05/01/2024 07:00,,0.467,10.7,1.21,30,18,AGUA SANTA
05/01/2024 08:00,,0.362,8,1.09,15,,AGUA SANTA
05/01/2024 09:00,,0.295,8.6,0.98,31,2,AGUA SANTA
05/01/2024 10:00,,0.223,6.7,0.93,24,,AGUA SANTA
05/01/2024 11:00,,0.17,5.9,0.88,23,,AGUA SANTA
05/01/2024 12:00,,0.147,5.6,0.76,41,,AGUA SANTA
05/01/2024 13:00,,0.116,4.5,0.73,60,11,AGUA SANTA
05/01/2024 14:00,,0.172,7.1,0.83,52,8,AGUA SANTA
05/01/2024 15:00,,0.209,8,0.88,51,9,AGUA SANTA
05/01/2024 16:00,,0.248,9.5,0.89,66,17,AGUA SANTA
05/01/2024 17:00,,0.313,11.1,0.94,60,26,AGUA SANTA
05/01/2024 18:00,,0.389,12.6,0.98,52,27,AGUA SANTA
05/01/2024 19:00,,0.501,14.3,1.16,58,25,AGUA SANTA
05/01/2024 20:00,,0.546,13,1.19,50,26,AGUA SANTA
05/01/2024 21:00,,0.703,15.7,1.28,56,17,AGUA SANTA
05/01/2024 22:00,,0.728,14.5,1.33,54,21,AGUA SANTA
05/01/2024 23:00,,0.435,11.7,1.09,43,14,AGUA SANTA
06/01/2024 00:00,,0.391,10.3,1.07,17,,AGUA SANTA
06/01/2024 01:00,,0.351,9.4,0.95,25,12,AGUA SANTA
06/01/2024 02:00,,0.275,6.4,0.92,20,14,AGUA SANTA
06/01/2024 03:00,,0.198,4.2,0.97,19,9,AGUA SANTA
06/01/2024 04:00,,0.182,4.7,0.96,8,,AGUA SANTA
06/01/2024 05:00,,0.197,5.4,0.96,20,12,AGUA SANTA
06/01/2024 06:00,,0.282,7.1,1.12,22,13,AGUA SANTA
06/01/2024 07:00,,0.534,9.1,1.33,33,16,AGUA SANTA
06/01/2024 08:00,,0.483,7,1.29,34,22,AGUA SANTA
06/01/2024 09:00,,0.334,4.7,1.11,10,,AGUA SANTA
06/01/2024 10:00,,0.235,4.3,0.97,19,,AGUA SANTA
06/01/2024 11:00,,0.186,4.5,0.86,20,,AGUA SANTA
06/01/2024 12:00,,0.166,5,0.9,26,4,AGUA SANTA
06/01/2024 13:00,,0.187,6.3,0.85,33,3,AGUA SANTA
06/01/2024 14:00,,0.226,7.1,0.91,55,10,AGUA SANTA
06/01/2024 15:00,,0.243,7.6,0.91,66,7,AGUA SANTA
06/01/2024 16:00,,0.247,8.7,0.88,52,18,AGUA SANTA
06/01/2024 17:00,,0.294,10.1,0.91,56,21,AGUA SANTA
06/01/2024 18:00,,0.35,12.2,0.92,41,30,AGUA SANTA
06/01/2024 19:00,,0.627,18,1.11,42,15,AGUA SANTA
06/01/2024 20:00,,0.749,19.7,1.28,62,30,AGUA SANTA
06/01/2024 21:00,,0.852,19,1.42,37,24,AGUA SANTA
06/01/2024 22:00,,0.892,17.3,1.56,39,23,AGUA SANTA
06/01/2024 23:00,,1.078,16.7,1.84,50,24,AGUA SANTA
07/01/2024 00:00,,1.003,15.6,1.43,41,21,AGUA SANTA
07/01/2024 01:00,,0.911,15.3,1.64,73,48,AGUA SANTA
07/01/2024 02:00,,0.632,15.1,1.41,70,46,AGUA SANTA
