DateTime,O3,CO,NO2,SO2,PM10,PM2.5,Estacion,Anio,Mes,Dia,Hora
2022-01-01 00:00:00,5.04,,26.6,3.19,186.0,84.0,AGUA SANTA,2022,1,1,0
2022-01-01 01:00:00,6.25,,23.6,2.94,207.0,132.0,AGUA SANTA,2022,1,1,1
2022-01-01 02:00:00,4.81,,26.8,3.11,245.0,159.0,AGUA SANTA,2022,1,1,2
2022-01-01 03:00:00,4.7,,25.7,2.29,271.0,158.0,AGUA SANTA,2022,1,1,3
2022-01-01 04:00:00,4.62,,24.1,2.63,260.0,169.0,AGUA SANTA,2022,1,1,4
2022-01-01 05:00:00,4.5,,23.3,2.06,237.0,157.0,AGUA SANTA,2022,1,1,5
2022-01-01 06:00:00,5.15,,21.4,1.85,268.0,161.0,AGUA SANTA,2022,1,1,6
2022-01-01 07:00:00,5.83,,18.8,2.09,250.0,154.0,AGUA SANTA,2022,1,1,7
2022-01-01 08:00:00,14.26,,14.3,3.88,178.0,111.0,AGUA SANTA,2022,1,1,8
2022-01-01 09:00:00,31.6,,11.0,3.55,133.0,94.0,AGUA SANTA,2022,1,1,9
2022-01-01 10:00:00,49.47,,6.8,2.19,65.0,48.0,AGUA SANTA,2022,1,1,10
2022-01-01 11:00:00,64.32,,4.4,1.74,55.0,39.0,AGUA SANTA,2022,1,1,11
2022-01-01 12:00:00,73.41,,3.1,2.02,27.0,26.0,AGUA SANTA,2022,1,1,12
2022-01-01 13:00:00,72.95,,4.7,1.99,27.0,22.5,AGUA SANTA,2022,1,1,13
2022-01-01 14:00:00,55.06,,2.6,1.06,46.0,19.0,AGUA SANTA,2022,1,1,14
2022-01-01 15:00:00,57.95,,2.6,1.16,43.0,13.0,AGUA SANTA,2022,1,1,15
2022-01-01 16:00:00,57.1,,2.4,1.13,37.0,19.0,AGUA SANTA,2022,1,1,16
2022-01-01 17:00:00,45.23,,5.8,1.09,44.0,26.0,AGUA SANTA,2022,1,1,17
2022-01-01 18:00:00,26.22,,19.0,1.69,64.0,19.0,AGUA SANTA,2022,1,1,18
2022-01-01 19:00:00,28.4,,19.4,1.92,47.0,12.0,AGUA SANTA,2022,1,1,19
2022-01-01 20:00:00,4.95,,33.8,2.47,100.0,24.0,AGUA SANTA,2022,1,1,20
2022-01-01 21:00:00,2.79,,32.1,1.93,105.0,51.0,AGUA SANTA,2022,1,1,21
2022-01-01 22:00:00,6.7,,25.5,1.4,94.0,73.0,AGUA SANTA,2022,1,1,22
2022-01-01 23:00:00,3.56,,24.7,1.08,144.0,62.0,AGUA SANTA,2022,1,1,23
2022-01-02 00:00:00,3.89,,24.5,1.52,133.0,52.0,AGUA SANTA,2022,1,2,0
2022-01-02 01:00:00,4.08,,23.5,1.62,118.0,58.0,AGUA SANTA,2022,1,2,1
2022-01-02 02:00:00,6.68,,18.9,1.18,93.0,58.0,AGUA SANTA,2022,1,2,2
2022-01-02 03:00:00,8.53,,15.2,1.35,90.0,42.0,AGUA SANTA,2022,1,2,3
2022-01-02 04:00:00,7.86,,15.1,1.58,62.0,33.0,AGUA SANTA,2022,1,2,4
2022-01-02 05:00:00,7.87,,13.3,0.95,70.0,28.0,AGUA SANTA,2022,1,2,5
2022-01-02 06:00:00,6.32,,14.5,0.81,55.0,31.0,AGUA SANTA,2022,1,2,6
2022-01-02 07:00:00,6.64,,14.1,1.0,60.0,29.0,AGUA SANTA,2022,1,2,7
2022-01-02 08:00:00,14.21,,11.4,1.76,42.0,29.0,AGUA SANTA,2022,1,2,8
2022-01-02 09:00:00,22.64,,10.4,1.76,34.0,19.0,AGUA SANTA,2022,1,2,9
2022-01-02 10:00:00,35.99,,7.1,2.11,27.0,13.0,AGUA SANTA,2022,1,2,10
2022-01-02 11:00:00,42.05,,3.1,0.8,57.0,14.0,AGUA SANTA,2022,1,2,11
2022-01-02 12:00:00,51.34,,4.5,0.7,77.0,14.0,AGUA SANTA,2022,1,2,12
2022-01-02 13:00:00,65.95,,6.6,1.06,55.0,16.0,AGUA SANTA,2022,1,2,13
2022-01-02 14:00:00,55.7,,5.1,0.79,40.0,22.0,AGUA SANTA,2022,1,2,14
2022-01-02 15:00:00,37.68,,6.7,0.63,118.0,24.0,AGUA SANTA,2022,1,2,15
2022-01-02 16:00:00,33.91,,7.9,0.46,157.0,21.0,AGUA SANTA,2022,1,2,16
2022-01-02 17:00:00,29.51,,10.0,0.68,121.0,23.0,AGUA SANTA,2022,1,2,17
2022-01-02 18:00:00,24.78,,10.8,1.11,82.0,49.0,AGUA SANTA,2022,1,2,18
2022-01-02 19:00:00,19.87,,10.0,0.59,57.0,26.0,AGUA SANTA,2022,1,2,19
2022-01-02 20:00:00,20.06,,8.9,0.74,45.0,35.0,AGUA SANTA,2022,1,2,20
2022-01-02 21:00:00,21.24,,9.1,0.56,24.0,12.0,AGUA SANTA,2022,1,2,21
2022-01-02 22:00:00,25.13,,6.5,0.24,37.0,15.0,AGUA SANTA,2022,1,2,22
2022-01-02 23:00:00,26.54,,5.0,0.37,12.0,10.0,AGUA SANTA,2022,1,2,23
2022-01-03 00:00:00,25.58,,4.5,0.17,22.0,5.0,AGUA SANTA,2022,1,3,0
2022-01-03 01:00:00,25.63,,3.6,0.01,20.0,7.0,AGUA SANTA,2022,1,3,1
2022-01-03 02:00:00,25.95,,3.3,0.16,16.5,21.0,AGUA SANTA,2022,1,3,2
2022-01-03 03:00:00,24.09,,4.3,0.11,13.0,20.25,AGUA SANTA,2022,1,3,3
2022-01-03 04:00:00,21.95,,5.1,0.14,15.0,19.5,AGUA SANTA,2022,1,3,4
2022-01-03 05:00:00,17.08,,7.1,0.15,9.0,18.75,AGUA SANTA,2022,1,3,5
2022-01-03 06:00:00,6.34,,12.7,0.27,26.0,18.0,AGUA SANTA,2022,1,3,6
2022-01-03 07:00:00,4.19,,14.5,0.59,18.0,20.0,AGUA SANTA,2022,1,3,7
2022-01-03 08:00:00,13.51,,12.9,0.6,48.0,15.0,AGUA SANTA,2022,1,3,8
2022-01-03 09:00:00,28.55,,7.7,0.45,24.0,8.5,AGUA SANTA,2022,1,3,9
2022-01-03 10:00:00,34.64,,6.7,0.22,17.0,2.0,AGUA SANTA,2022,1,3,10
2022-01-03 11:00:00,41.38,,7.5,0.37,34.0,2.0,AGUA SANTA,2022,1,3,11
2022-01-03 12:00:00,50.62,,7.9,0.41,35.0,9.0,AGUA SANTA,2022,1,3,12
2022-01-03 13:00:00,49.31,,6.4,0.4,38.0,15.5,AGUA SANTA,2022,1,3,13
2022-01-03 14:00:00,42.24,,5.1,0.32,24.0,22.0,AGUA SANTA,2022,1,3,14
2022-01-03 15:00:00,41.35,,4.3,0.33,18.0,15.0,AGUA SANTA,2022,1,3,15
2022-01-03 16:00:00,31.46,,8.5,0.37,22.0,20.0,AGUA SANTA,2022,1,3,16
2022-01-03 17:00:00,25.05,,12.2,0.32,41.0,27.0,AGUA SANTA,2022,1,3,17
2022-01-03 18:00:00,19.21,,16.0,0.68,84.0,55.0,AGUA SANTA,2022,1,3,18
2022-01-03 19:00:00,19.16,,14.8,0.63,78.0,31.0,AGUA SANTA,2022,1,3,19
2022-01-03 20:00:00,19.2,,13.2,0.37,65.0,20.0,AGUA SANTA,2022,1,3,20
2022-01-03 21:00:00,13.13,,14.5,0.11,67.0,32.0,AGUA SANTA,2022,1,3,21
2022-01-03 22:00:00,10.63,,15.2,0.31,34.0,33.0,AGUA SANTA,2022,1,3,22
2022-01-03 23:00:00,4.78,,17.7,0.43,54.0,10.0,AGUA SANTA,2022,1,3,23
2022-01-04 00:00:00,3.74,,17.2,0.36,55.0,13.0,AGUA SANTA,2022,1,4,0
2022-01-04 01:00:00,3.09,,16.9,0.24,49.0,22.0,AGUA SANTA,2022,1,4,1
2022-01-04 02:00:00,5.22,,14.5,0.09,37.0,13.0,AGUA SANTA,2022,1,4,2
2022-01-04 03:00:00,5.97,,11.9,0.215,38.0,14.0,AGUA SANTA,2022,1,4,3
2022-01-04 04:00:00,4.93,,11.0,0.34,38.0,12.0,AGUA SANTA,2022,1,4,4
2022-01-04 05:00:00,3.57,,12.5,0.37,55.0,17.0,AGUA SANTA,2022,1,4,5
